Subj,Subjnr,Prec,Weekly,Mode,P,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,LAKW,AUC.G,AUC.L,Alpha.G,Alpha.L,Gamma.G,Gamma.L,DWG10,DWG30,DWG50,DWG70,DWG90,DWL10,DWL30,DWL50,DWL70,DWL90,SSL4,SSL3,SSL2,SSL1,RP,SSG1,SSG2,SSG3,SSG4,PBSG10,PBSG30,PBSG50,PBSG70,PBSG90,PBSL10,PBSL30,PBSL50,PBSL70,PBSL90,BDG05,BDG510,BDL05,BDL510,D5G,RG,BetaG,D5L,RL,BetaL,Age,Gender,Weight,Height,Cigarettes,Alcohol,Exercise,BMI,TSCs,CRTs,PQNs,PQEs,PQPs,PQLs
1,1,1,2,3,25,10,10,10,10,10,10,10,10,10,10,3.86666666666667,0.652536231884058,0.661490683229814,0.524124236827964,0.459159091573165,0.820559595572074,0.644849364618553,0.632352941176471,0.669117647058824,0.617647058823529,0.917741935483871,0.898387096774194,0.372549019607843,0.61484375,0.423529411764706,0.673828125,0.654296875,-161,-97,-33,-7.5,0,29,88,190,345,142,157,136,294,282,-20,-62.4,-25.2,-77.5,-72.5,168.11,168.11,-73.95,-55.3,0.996937977815013,0.00307142696248563,0.987808052389296,0.969474458926837,0.0314866893006689,0.992989607734177,20,Male,75,178,0,1,3,23.6712536295922,3.91666666666667,,,,,
2,2,1,1,3,61,0,0,0,0,0,0,0,0,0,100,4.22222222222222,0.539179104477612,0.618137254901961,0.856903001233676,0.632407712176047,0.995451544035209,2.02864975406328,0.292307692307692,0.384615384615385,0.692307692307692,0.916666666666667,0.961805555555556,0.25,0.296296296296296,0.194444444444444,0.595890410958904,0.972727272727273,-51,-29,-14.4,-9,0,38,103,129,201,49,73,123,177,190,-9,-10,-7,-20,-48.6,91.5,91.1,-21.5,-19.9,0.984799779240226,0.0154348336384695,0.943757080675754,0.970520885358626,0.0303745288598101,0.928104104159084,21,Female,57,167,0,7,2,20.4381655849977,3.91666666666667,,,,,
3,3,2,2,4,90,30,28,26,23,21,19,17,14,12,10,2.5,0.397727272727273,0.308333333333333,1.56994135792453,2.22004670876115,1.93655975853192,2.98233927849701,0.1875,0.291666666666667,0.25,0.583333333333333,0.958333333333333,0.125,0.140625,0.15625,0.5,0.78125,-15,-15,-11,-8,0,20,26,38,44,15,21,20,30,43,-4,-4.5,-5,-11,-14,22,22,-7.5,-7.5,1,0,1,1,0,1,18,Male,77,178,0,10,0,24.3024870597147,3.16666666666667,0,0.5,0.5,0.5,0.833333333333333
4,4,2,2,3,10,20,20,20,20,20,20,20,20,20,20,1,0.5,0.5,1,1,1,1,0.1,0.3,0.5,0.7,0.9,0.1,0.3,0.5,0.7,0.9,-100,-75,-50,-25,0,25,50,75,100,10,30,50,70,90,-10,-30,-50,-70,-90,46.9,46.9,-46.9,-46.9,0.987280519153452,0.0128833503748802,0.950084582651638,0.987280519153452,0.0128833503748802,0.950084582651638,21,Male,78,192,0,40,1,21.1588541666667,2.83333333333333,3,0.666666666666667,0.5,0.333333333333333,0.333333333333333
5,5,1,2,2,100,5,6,7,8,9,11,12,13,14,15,0.993939393939394,0.489842454394693,0.518880208333333,1.05816498477093,0.947409432408054,3.72900361165083,0.761145718835277,0.0838414634146342,0.111280487804878,0.158536585365854,0.561904761904762,0.385542168674699,0.8,0.88,0.871428571428571,0.8,0.805714285714286,-38.4,-20.9,-17.3,-16.5,0,16.4,33,43.5,60.3,5.5,7.3,10.4,35.6,25.4,-24.4,-30,-29.4,-24.4,-24.8,20.7,22.6,-14.5,-20.4,0.944398373236284,0.0588751826977201,0.729175990721,1.02508331923219,-0.0244695419012205,0.339145453964411,19,Female,60,177,0,7,3,19.1515847936417,3.16666666666667,1,0.666666666666667,0.666666666666667,0.166666666666667,0.666666666666667
6,6,2,1,3,85,0,0,0,0,0,0,0,0,0,200,1.45454545454545,0.435126582278481,0.509188626907074,1.35447997442064,0.962763743056467,5.07133033503452,0.661730640037212,0.208333333333333,0.192708333333333,0.280769230769231,0.318269230769231,0.423076923076923,0.435897435897436,0.487179487179487,0.5,0.652941176470588,0.705882352941177,-72.1,-53,-36,-16.5,0,24,50,65,79,20,18.5,27.2,31.1,42,-31,-35,-36,-46.4,-50,39.27,39.27,-36.18,-36.18,0.998889100811438,0.00111213465805116,0.995563802345489,1.0007624195125,-0.000761838671829662,1.00305316752414,23,Female,45,170,0,1,4,15.5709342560554,3.75,1,0.666666666666667,0.5,0.5,0.5
7,7,2,2,4,100,30,28,26,23,21,19,17,14,12,10,1.66666666666667,0.790930599369085,0.520833333333333,0.287353652451144,0.899288478675854,0.869807328717162,1.32308867823318,0.352708333333333,0.750730519480519,0.839184253246753,0.819074675324675,0.913555194805195,0.0777777777777778,0.155555555555556,0.561023622047244,0.768055555555556,0.948611111111111,-74.4,-56.4,-31,-18,0,30,150,353,1585,79.3,356.6,792.5,693.4,1159,-5.6,-11.2,-37.2,-57.7,-70.7,768.6,793.5,-33.55,-37.2,1.00004835706882,-4.83547305275556e-05,0.994172696092362,1,0,0.935964912280702,18,Male,70,190,0,12,3,19.3905817174515,3.66666666666667,3,0.666666666666667,0.5,0.666666666666667,1
8,8,2,1,3,100,0,0,0,0,0,0,0,0,0,200,4.16666666666667,0.644503546099291,0.5254329004329,0.575292872708085,0.893371280724599,0.564000594990631,2.71294036405656,0.2125,0.1875,0.583333333333333,0.5,0.5925,0,0.166666666666667,0.470338983050847,0.470338983050847,0.470338983050847,-23.1,-16.8,-10.7,-4.8,0,20,40,70,141,17,15,50,40,51.1,0,-3.2,-10,-10,-10,69.3,69.3,-11.5,-11.6,0.997971490330904,0.00203263288455591,0.99191061706135,1.00076511183653,-0.000764526887958361,0.995406984709313,19,Male,75,176,0,2,5,24.2122933884298,3.16666666666667,1,0.166666666666667,0.5,0.333333333333333,0.333333333333333
9,9,1,2,1,95,0,2,4,7,9,11,13,16,18,20,2.5,0.802906193895871,0.556818181818182,0.254717109728335,0.816487614826521,0.797752186090645,0.875140449852521,0.755353009259259,0.711038961038961,0.813802083333333,0.924623842592593,0.813802083333333,0.0681818181818182,0.34375,0.607142857142857,0.642857142857143,0.826388888888889,-44,-26,-19,-11,0,27.5,115,500,2228,537,440,941,1707,941,-3,-14,-22,-23,-31.5,35.81,1080.19,-22,-22,0.998831005869506,0.00117036227712686,0.326720435232021,1,0,1,18,Male,75,188,0,10,5,21.2200090538705,3,2,0.5,0.833333333333333,0.166666666666667,0.5
10,10,2,2,3,100,20,20,20,20,20,20,20,20,20,20,4.10204081632653,0.340540540540541,0.467857142857143,2.18902428640339,1.14577214607158,5.15992692576131,0.696597734129492,0.111940298507463,0.223880597014925,0.199004975124378,0.236318407960199,0.55,0.153061224489796,0.2625,0.50609756097561,0.567073170731707,0.775,-14,-11,-6.9,-4.9,0,20.1,27,32,37,9,18,16,19,28,-3,-5,-7,-8,-11.3,10,10,-5.1,-6.1,0.884230832389912,0.13092640899796,0.611311572431329,0.954036849118618,0.0481775425381576,0.569551893596035,18,Male,73,180,0,3,2,22.5308641975309,3.25,1,0.5,0.5,0.5,0.166666666666667
