Subj;TSC1;TSC2;TSC3;TSC4;TSC5;TSC6;TSC7;TSC8;TSC9;TSC10;TSC11;TSC12;TSC13;CRT1;CRT2;CRT3;PQ1;PQ2;PQ3;PQ4;PQ5;PQ6;PQ7;PQ8;PQ9;PQ10;PQ11;PQ12;PQ13;PQ14;PQ15;PQ16;PQ17;PQ18;PQ19;PQ20;PQ21;PQ22;PQ23;PQ24
90;4;4;5;2;5;2;4;2;2;3;4;4;5;5;5;47;1;2;1;1;2;2;1;2;2;1;1;1;2;2;1;1;1;1;1;2;1;1;2;2
92;2;2;3;4;3;2;3;2;4;3;3;3;3;10;5;47;2;2;1;1;1;2;2;2;2;2;1;2;2;2;2;1;1;1;2;1;1;2;2;1
84;4;1;3;4;1;5;3;3;2;2;5;3;3;10;100;24;1;1;1;1;2;2;1;2;1;1;2;2;2;1;1;2;1;2;1;2;2;1;1;1
82;3;2;2;2;4;4;4;4;3;3;4;4;4;10;500;24;2;2;1;1;2;1;2;1;2;1;1;2;2;2;1;1;1;1;2;2;2;2;1;2
97;2;4;4;4;4;2;2;2;4;3;2;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;2;4;1;4;5;2;2;4;4;4;5;4;5;10;100;24;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;2;1;1;2;1;2;1;1;1
91;4;2;2;4;4;3;2;3;4;3;4;2;1;10;100;47;1;1;1;1;1;1;1;2;1;2;1;2;2;1;1;2;1;1;2;1;2;2;1;1
98;4;2;3;1;1;4;4;3;3;3;3;2;3;10;100;24;1;1;1;1;2;2;2;1;1;2;2;1;2;1;1;1;1;1;1;2;2;2;2;1
75;3;2;2;5;3;4;5;4;4;2;4;1;2;5;5;47;1;1;1;1;2;2;1;2;1;2;1;1;2;1;1;2;1;1;2;2;2;2;2;1
65;5;2;2;1;3;5;3;4;2;3;5;2;4;5;20;47;2;2;2;2;2;1;2;1;2;1;2;1;1;1;1;1;2;2;1;2;1;2;1;2
57;5;2;2;2;3;2;4;4;3;4;4;3;2;5;5;47;2;1;1;1;1;1;2;2;1;1;1;2;1;1;2;2;1;1;2;1;2;2;2;2
74;3;3;2;4;2;2;3;3;2;4;4;2;4;5;100;12;1;2;1;1;1;2;1;2;1;1;1;1;2;2;1;1;1;1;1;1;1;1;2;2
67;2;4;4;1;3;3;4;2;4;5;3;2;3;10;5;24;2;1;1;2;1;2;2;2;1;2;2;2;2;1;1;2;1;2;2;1;2;2;1;1
76;3;2;1;3;3;4;1;;3;2;4;2;2;10;5;47;1;1;2;1;2;2;2;1;1;2;1;2;2;1;2;2;1;1;1;2;2;2;2;1
49;3;5;4;4;4;3;4;3;4;3;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;4;2;2;4;4;3;2;4;3;3;5;2;3;10;100;46;2;1;1;1;1;2;2;1;1;1;1;2;2;1;2;2;1;2;2;2;2;2;1;1
66;2;4;2;3;4;1;5;2;4;3;3;5;2;5;5;47;2;1;1;1;2;2;1;2;1;1;1;2;1;1;2;2;1;1;2;1;2;2;2;1
59;4;2;3;3;4;1;3;3;3;3;5;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;3;4;4;2;2;4;2;3;4;4;5;1;3;5;5;47;2;1;1;1;2;2;2;2;1;2;1;2;2;1;2;2;1;1;2;1;2;2;2;1
58;3;2;3;2;4;2;4;3;5;2;4;2;3;5;5;24;1;2;1;1;2;1;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2
41;2;3;3;2;3;4;3;1;3;2;4;3;2;5;5;47;1;1;1;1;1;2;1;2;1;1;2;2;2;1;1;2;1;1;2;1;2;2;2;1
52;3;2;3;1;3;4;2;4;4;1;3;4;1;5;5;47;2;2;1;1;1;2;2;2;2;2;2;2;2;2;;1;1;1;2;1;2;2;1;2
